,ID,os,day,day.of.week,within.day,SurveyType,RunTimestamp,SubmissionTimestamp,v1,v2,v3,t1,t2,t3,f1,f2,f3,WHAT,HOW,WHOM,nPeople,d1,d2,d3,d4,c1,c2,c3,gender,age,job,jobOut,job_sector,work_hours,noQs,respRate
1,S001,iOS,1,1,2,work,22:29.8,24:34.7,4,3,5,6,1,2,7,4,6,ANALYSIS,PC,COLL,1,5,4,3,3,4,7,4,M,33,Science and engineering professionals,FALSE,Public,50,0,3
2,S001,iOS,1,1,3,work,05:17.0,07:35.1,3,4,4,2,2,3,5,5,6,NETWORKING,FACE2FACE,"COLL,OVER",5,5,2,4,3,1,1,3,M,33,Science and engineering professionals,FALSE,Public,50,0,3
3,S001,iOS,1,1,4,work,27:32.5,30:19.1,2,4,2,2,2,2,3,4,4,"BREAK,NETWORKING",FACE2FACE,"COLL,FAMILY",5,5,3,2,2,1,2,2,M,33,Science and engineering professionals,FALSE,Public,50,0,3
4,S001,iOS,1,1,7,work,00:27.0,02:27.5,2,4,4,3,5,3,7,6,6,"AUTHORING,DISSEMINATION",PC,ALONE,0,5,5,3,5,3,7,7,M,33,Science and engineering professionals,FALSE,Public,50,0,3
5,S001,iOS,2,3,3,work,56:18.0,58:28.3,3,3,3,4,2,3,4,3,3,"NETWORKING,ADMINISTRATIVE","FACE2FACE,PC,SMARTPHONE","COLL,OVER,UNDER",50,3,2,2,3,1,1,1,M,33,Science and engineering professionals,FALSE,Public,50,0,3
6,S001,iOS,2,3,6,work,34:15.8,35:57.3,3,4,5,3,4,1,6,6,6,NETWORKING,"FACE2FACE,PC","COLL,OVER",30,1,1,2,2,1,1,1,M,33,Science and engineering professionals,FALSE,Public,50,0,3
7,S001,iOS,2,3,7,work,59:33.9,01:33.4,3,4,3,4,2,2,6,5,5,OTHER,"PC,FACE2FACE",COLL,1,4,5,3,3,7,7,7,M,33,Science and engineering professionals,FALSE,Public,50,0,3
8,S001,iOS,3,5,3,work,00:19.5,01:52.0,2,3,2,3,6,2,3,3,3,"ACQUISITION,ANALYSIS,AUTHORING","PC,FACE2FACE",ALONE,0,5,3,6,4,6,7,7,M,33,Science and engineering professionals,FALSE,Public,50,0,3
9,S001,iOS,3,5,4,work,25:59.6,27:42.5,2,4,4,3,4,1,4,3,3,"BREAK,AUTHORING","PC,OTHER",ALONE,0,5,2,5,5,7,6,6,M,33,Science and engineering professionals,FALSE,Public,50,0,3
10,S001,iOS,3,5,6,work,48:54.6,50:44.8,3,4,3,3,2,2,6,7,6,"ACQUISITION,ANALYSIS,AUTHORING",PC,ALONE,0,6,6,3,6,7,7,7,M,33,Science and engineering professionals,FALSE,Public,50,0,3
11,S001,iOS,3,5,7,work,10:32.3,12:00.8,4,3,2,4,2,3,7,6,6,ACQUISITION,PC,ALONE,0,5,5,3,5,7,7,7,M,33,Science and engineering professionals,FALSE,Public,50,0,3
12,S002,iOS,1,5,1,baseline,15:05.6,16:53.7,3,3,4,3,7,7,7,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,29,Science and engineering professionals,FALSE,Public,50,0,3
13,S002,iOS,1,5,2,work,38:03.7,39:25.3,2,5,3,4,6,6,5,4,6,ACQUISITION,PC,ALONE,0,3,1,1,2,6,6,6,M,29,Science and engineering professionals,FALSE,Public,50,0,3
14,S002,iOS,1,5,4,work,41:13.3,42:26.2,2,4,3,6,5,5,4,3,4,ACQUISITION,PC,ALONE,0,5,4,3,4,6,6,6,M,29,Science and engineering professionals,FALSE,Public,50,0,3
15,S002,iOS,1,5,5,work,59:52.9,00:56.3,4,2,4,2,5,5,2,2,3,ACQUISITION,PC,ALONE,0,5,3,3,4,6,6,6,M,29,Science and engineering professionals,FALSE,Public,50,0,3
16,S002,iOS,1,5,7,work,10:35.0,11:29.2,4,5,3,3,5,6,2,3,6,ACQUISITION,PC,ALONE,0,6,4,3,6,6,6,6,M,29,Science and engineering professionals,FALSE,Public,50,0,3
17,S002,iOS,2,1,3,work,09:16.1,10:24.7,3,3,3,3,5,3,5,5,4,ACQUISITION,PC,ALONE,0,4,3,5,4,6,6,6,M,29,Science and engineering professionals,FALSE,Public,50,0,3
18,S002,iOS,2,1,4,work,29:44.9,30:41.4,3,5,4,3,5,5,4,4,4,ACQUISITION,PC,ALONE,0,5,3,6,7,6,7,6,M,29,Science and engineering professionals,FALSE,Public,50,0,3
19,S002,iOS,2,1,5,work,57:25.8,58:09.7,4,3,3,5,6,6,2,2,3,ACQUISITION,PC,ALONE,0,4,4,6,6,6,6,7,M,29,Science and engineering professionals,FALSE,Public,50,0,3
20,S002,iOS,2,1,6,work,21:04.2,21:46.0,2,4,4,6,5,6,2,3,2,ACQUISITION,PC,ALONE,0,4,3,3,6,6,6,6,M,29,Science and engineering professionals,FALSE,Public,50,0,3
